bench_mat_37_500_1_mat_23_1_1 47.468µs
bench_mat_37_500_1_mat_24_1_100 540.374µs
bench_mat_37_500_1_mat_26_1_900 4.223885ms
bench_mat_37_500_1_mat_28_1_200 988.013µs
bench_mat_37_500_1_mat_30_1_1000 5.515182ms
bench_mat_37_500_1_mat_32_1_300 1.466066ms
bench_mat_37_500_1_mat_34_1_400 2.149108ms
bench_mat_37_500_1_mat_36_1_500 2.614797ms
bench_mat_37_500_1_mat_38_1_600 2.921672ms
bench_mat_37_500_1_mat_3_1_800 3.754077ms
bench_mat_37_500_1_mat_40_1_700 3.290306ms
bench_mat_38_1_600_mat_39_600_1 20.248µs
bench_mat_39_600_1_mat_22_1_1 22.851µs
bench_mat_39_600_1_mat_23_1_1 23.861µs
bench_mat_39_600_1_mat_24_1_100 553.13µs
bench_mat_39_600_1_mat_26_1_900 5.732349ms
bench_mat_39_600_1_mat_28_1_200 1.205152ms
bench_mat_39_600_1_mat_30_1_1000 5.849161ms
bench_mat_39_600_1_mat_32_1_300 2.096289ms
bench_mat_39_600_1_mat_34_1_400 2.294948ms
bench_mat_39_600_1_mat_36_1_500 2.978145ms
bench_mat_39_600_1_mat_38_1_600 3.609601ms
bench_mat_39_600_1_mat_3_1_800 4.51242ms
bench_mat_39_600_1_mat_40_1_700 3.88038ms
bench_mat_3_1_800_mat_2_800_1 23.74µs
bench_mat_40_1_700_mat_41_700_1 20.098µs
bench_mat_41_700_1_mat_22_1_1 28.644µs
bench_mat_41_700_1_mat_23_1_1 28.414µs
bench_mat_41_700_1_mat_24_1_100 651.881µs
bench_mat_41_700_1_mat_26_1_900 6.649308ms
bench_mat_41_700_1_mat_28_1_200 1.332695ms
bench_mat_41_700_1_mat_30_1_1000 7.035647ms
bench_mat_41_700_1_mat_32_1_300 2.002439ms
bench_mat_41_700_1_mat_34_1_400 2.890573ms
bench_mat_41_700_1_mat_36_1_500 3.563141ms
bench_mat_41_700_1_mat_38_1_600 3.853194ms
bench_mat_41_700_1_mat_3_1_800 5.171316ms
bench_mat_41_700_1_mat_40_1_700 4.617772ms
